file_name,Caption,malignancy
ROCOv2_2023__000081.jpg,Ultrasonogram of thyroid showing calcifications with hypoechoic lesion (label).,benign
ROCOv2_2023__000896.jpg,Thyroid ultrasonography showing a 3.1 × 2.6 × 3.9 cm heterogeneous hypoechoic mass with calcification in the right lobe of the thyroid gland.,benign
ROCOv2_2023__001798.jpg,"Ultrasound image at the time of presentation with neck pain and fever, showing the same thyroid nodule with increase in size measuring 4.95 × 4.13 × 3.04 cm and with interval development of isoechoic debris in the cystic fluid.",benign
ROCOv2_2023__003832.jpg,Thyroid gland ultrasound examination in the patient. The white arrow indicates a weak-echo nodule in the left lobe of her thyroid gland.,benign
ROCOv2_2023__004985.jpg,"B-mode ultrasound of the right lobe of thyroid gland using the S2000, 9L4 probe at 9 MHz with the ROI placed within the healthy thyroid tissue measuring an ARFI velocity of 1.90 m/s.",benign
ROCOv2_2023__005581.jpg,Sonographic imaging showing a diffuse bilateral thyroid gland enlargement without focal lesions and coarse internal echogenicities.,benign
ROCOv2_2023__007381.jpg,A thyroid ultrasound with evidence of an enlarged thyroid gland (total volume 10 mL) with non-homogeneous echotexture.,benign
ROCOv2_2023__008182.jpg,"Thyroid ultrasound on hospital day 4 showed a 6.8 × 4.8 × 4.5 cm heterogeneous, necrotic, and hypervascular mass in a sagittal view of the right lobe.",benign
ROCOv2_2023__008769.jpg,Ultrasound image of microwave ablation of thyroid tumors.,benign
ROCOv2_2023__008808.jpg,Thyroid ultrasonotraphic finding. Ultrasonography showing a diffuse enlargement with heterogeneous echogenicity without any definite focal lesions of both thyroid glands.,benign
ROCOv2_2023__009528.jpg,Right-sided dominant thyroid nodule seen on thyroid ultrasonography.,benign
ROCOv2_2023__010362.jpg,"Position of the needle on ultrasound view. Blue dot on the left side representing the tip of the EMG needle, going in the Longus Colli muscle through the thyroid gland (SNV mode). Small cysts, benign in appearance, can be seen in the thyroid.",benign
ROCOv2_2023__011755.jpg,Thyroid ultrasound reveals a 2.8×2.3 cm hypoechoic lesion in the right thyroid isthmus.,benign
ROCOv2_2023__013256.jpg,Ultrasound neck image illustrating the parathyroid adenoma measuring 11 mm with echogenicity and internal vasculature.,benign
ROCOv2_2023__015077.jpg,Ultrasonography showed a right thyroid mass,benign
ROCOv2_2023__015120.jpg,"Ultrasonography of cervical region. On this image, the thyroid is hyperechogenic and presents with reduced dimensions (between markers).",benign
ROCOv2_2023__015121.jpg,"Ultrasonography of cervical region. In this case, the thyroid gland (arrows indicating the right and left lobes) presents with much reduced dimensions and increased echogenicity.",benign
ROCOv2_2023__015122.jpg,"Ultrasonography of cervical region. In this child, the thyroid gland could not be identified. ACCD, right common carotid artery; ACCE, left common carotid artery.",benign
ROCOv2_2023__015155.jpg,Ultrasound image of a large thyroid cyst in a cat. Note cystic fluid (arrow) and thyroid tissue (arrowhead).,benign
ROCOv2_2023__015496.jpg,Ultrasound of the right thyroid lobe,benign
ROCOv2_2023__015874.jpg,Thyroid Lobe (R) UltrasoundNeck sonogram highlighting anechoic lesion with septa in the right thyroid lobe,benign
ROCOv2_2023__016293.jpg,Ultrasound showing that this patient had a normal‐sized thyroid with small nodules on admission.,benign
ROCOv2_2023__016453.jpg,"Ultrasound finding of parathyroid carcinoma (transverse)—an intrathyroid, nonhomogeneous, fibrotic mass in the right lobe.",malignant
ROCOv2_2023__016454.jpg,Ultrasound finding of parathyroid carcinoma (transverse)—nonsuspicious “Pad” at the lower pole of the left thyroid lobe.,malignant
ROCOv2_2023__016455.jpg,Ultrasound finding of parathyroid carcinoma (longitudinal)—a tumor with cystic degeneration and calcification.,malignant
ROCOv2_2023__017373.jpg,"Thyroid doppler ultrasonography, longitudinal view: increased asymmetric vascularity in the right thyroid lobe indicative of Hashimoto thyroiditis",benign
ROCOv2_2023__017925.jpg,"Thyroid ultrasonography of the patient demonstrating thyroid enlargement and inhomogeneity. The size of the left lobe was 1.5 × 1.6 × 2.8 cm, and the size of the right lobe was 1.7 × 1.5 × 3.5 cm. Anterior from both thyroid lobes was fluid accumulation.",benign
ROCOv2_2023__018385.jpg,The first thyroid sonography,benign
ROCOv2_2023__018386.jpg,The last thyroid sonography,benign
ROCOv2_2023__018661.jpg,Ultrasound revealed enlarged heterogeneous thyroid gland with increased vascularity,benign
ROCOv2_2023__019574.jpg,A 73-year-old woman with parathyroid adenoma with characteristic feeding vessels.A longitudinal sonogram shows a hypoechoic solid mass with multiple feeding vessels from the lower pole margin of the thyroid gland.,benign
ROCOv2_2023__020630.jpg,"Ultrasound features of a malignant thyroid nodule. Malignant thyroid lesions with irregular margins are indicated by white arrow marked hypoechogenic; strap muscles and microcalcification are indicated by yellow and green arrows, respectively.",malignant
ROCOv2_2023__020830.jpg,"Example of a nodule classified as TI-RADS 2.Axial scan shows a left simple cyst with sediment. The absence of a vascular signal in the echoic part must be asserted with Doppler ultrasonography. TI-RADS, thyroid imaging reporting and database system.",benign
ROCOv2_2023__020831.jpg,"Example of a nodule classified as TI-RADS 4A.Longitudinal sonogram shows a nodule with oval shape and regular borders that is mildly hypoechoic (more hypoechoic than the surrounding normal thyroid parenchyma, but no more hypoechoic than the strap muscles). TI-RADS, thyroid imaging reporting and database system.",benign
ROCOv2_2023__021838.jpg,Thyroid ultrasonography of an 18-year-old girl with Hashimoto's thyroiditis. An oval poorly defined hypoechoic solid nodule containing internal microcalcifications which is 2.7 cm in diameter is evident in the right thyroid gland.,benign
ROCOv2_2023__021877.jpg,"The features of ultrasonography. The presence of a foreign body that was approximately 2.43 cm hyperechoic linear image embedded in the left part of the thyroid lobe, and part of it was located outside the back membrane of the thyroid. A hypoechoci area surrounding the foreign body is regarded as the ultrasonic characteristics of inflammatory response.",benign
ROCOv2_2023__022405.jpg,Ultrasound scan of right thyroid lobe,benign
ROCOv2_2023__023502.jpg,Transverse grayscale ultrasound image of the anterior midline neck at the level of larynx shows diffuse expansion of bilateral thyroid cartilage ala (arrows) with internal anechoic hypoechoic fluid and debris. An ultrasound-guided aspiration needle enters the left thyroid cartilage ala (arrowhead).,benign
ROCOv2_2023__023958.jpg,Ultrasound neck showing a well-defined hypoechoic parathyroid adenoma (arrow).,benign
ROCOv2_2023__024144.jpg,It shows cystic lesion of 10 × 8 cm in lateral left lobe of thyroid gland including internal echoes with some separation and posterior acoustic shadowing in ultrasound examination.,benign
ROCOv2_2023__024570.jpg,Thyroid ultrasound revealed an atrophic gland without nodules.,benign
ROCOv2_2023__024750.jpg,"Ultrasound of neck revealed several nodules which were thought to be parathyroid; well-defined hypoechoic nodules sized 0.85 cm, 0.75×0.74 cm, maximum size is 1.83 cm, and there was no other significant lymphadenopathy",benign
ROCOv2_2023__024810.jpg,Barium swallow with rapid sequencing images showing a 4 cm. blind-ended sinus from the apex of the left piriform fossa extending inferiorly in relation to the deep aspect of the lobe of the thyroid. Additional imaging was undertaken with ultrasound,benign
ROCOv2_2023__025861.jpg,"Sonoanatomy for an ultrasound-guided SGB: the transverse short-axis view at the C6 level. CA: carotid artery, IJV: internal jugular vein (in a partially compressed state by the probe), PVF: prevertebral fascia, LCo: longus colli muscle, SCM: sternocleidomastoid muscle, Thy: thyroid gland, T: Chassaignac's tubercle, med: medial, lat : lateral.",benign
ROCOv2_2023__025862.jpg,"Ultrasound image of the C6 transverse short-axis view following left SGB at the C6 level. Arrows show the subfascial spread of local anesthetics above the longus colli muscle. The fine long arrow indicates the out-of-plane needle path. CA: carotid artery, LCo: longus colli muscle, SCM: sternocleidomastoid muscle, Thy: thyroid gland, T: Chassaignac's tubercle, med: medial, lat: lateral.",benign
ROCOv2_2023__025949.jpg,A 50-year-old female patient with diffuse PTL.Transverse sonogram shows the enlarged thyroid with decreased heterogeneous internal echoes (arrows).,benign
ROCOv2_2023__026099.jpg,Ultrasonography of the neck revealed a right thyroid mass of about 4.5×2.5×4.6 cm with heterogeneously increased internal echogenicity.,benign
ROCOv2_2023__026131.jpg,Transcutaneous ultrasound images of the thyroid lesion.,benign
ROCOv2_2023__027747.jpg,Ultrasound showing the parathyroid mass.,benign
ROCOv2_2023__028207.jpg,Hemiagenesis in 17-year-old male incidentally detected during pneumothorax evaluation. Transverse ultrasonography revealed no left thyroid gland. Thyroid function was normal.,benign
ROCOv2_2023__028376.jpg,Ultrasonography of the parathyroid carcinoma,malignant
ROCOv2_2023__028804.jpg,"Thyroid ultrasound disclosed a hypoechoic nodule of 15.5 × 13.5 × 12 mm in size in the left upper pole, having irregular spiculated margins, and dense millimetric microcalcifications in the central area.",benign
